year,men,women,boys,girls
2025,Hietpas Nick,Kosiorek Beth,Harder Kameron,Dehlinger Audry
2024,Southworth Randy,Brown Traci,Brown Tyler,Young Miley
2023,Hietpas Nick,Brown Traci,Gaschler Joshua,Stadler Hailey
2022,Steffen Wes,Schmal Rachel,Hackbarth Jacob,Winter Kate
2021,Southworth Randy,Boelter Charly,Winter Luke,Kandler Alyson
2020,Green Rick,Boelter Charly,Rusch Cale,Juedes Mackenzie
2019,Blaese Kyle,Boelter Charly,Rusch Cale,Lamers Olivia
2018,Hietpas Nick,,,
2017,Wendt Jason,,,
2016,Kempf Kenny,,,
2015,Wendt Jason,,,
2014,Kempf Kenny,,,
2013,Van Domelen Steve,,,
2012,Kempf Kenny,,,
2011,Kuhr Brad,,,
2010,Kuhr Brad,,,
2009,Van Domelen Steve,,,
2008,Wendt Jason,,,
2007,Johnson Dean,,,
2006,Kempf Kenny,,,
2005,Wendt Jason,,,
2004,Wendt Jason,,,
